account_id,customer_id,account_type,open_date,current_balance,account_status
500001,100001,Savings,2024-03-10,48529,Active
500002,100002,Savings,2022-07-09,25640,Active
500003,100003,Current,2022-07-10,13962,Active
500004,100004,Savings,2024-04-09,16228,Active
500005,100005,Savings,2023-02-10,4689,Inactive
500006,100006,Current,2022-06-11,69642,Active
500007,100007,Savings,2022-02-06,50192,Active
500008,100007,Savings,2022-01-31,11625,Active
500009,100008,Savings,2022-07-20,76240,Active
500010,100009,Savings,2023-11-10,18533,Active
500011,100010,Savings,2023-07-19,19461,Frozen
500012,100011,Current,2022-11-19,7392,Active
500013,100011,Savings,2022-01-31,17421,Active
500014,100012,Savings,2022-10-25,7511,Active
500015,100013,Salary,2022-01-01,8691,Active
500016,100013,Salary,2022-02-23,20242,Active
500017,100014,Savings,2022-03-16,6579,Active
500018,100014,Savings,2023-11-23,64253,Active
500019,100015,Savings,2023-02-24,48000,Active
500020,100016,Savings,2022-04-14,30645,Active
500021,100017,Savings,2023-11-30,31549,Active
500022,100018,Savings,2024-01-20,59095,Active
500023,100019,Savings,2023-02-09,11750,Active
500024,100020,Savings,2024-04-02,7549,Active
500025,100021,Savings,2022-07-11,19548,Active
500026,100021,Salary,2023-10-20,14548,Active
500027,100022,Savings,2023-03-29,20463,Active
500028,100023,Savings,2022-10-31,47813,Active
500029,100024,Savings,2023-10-14,25806,Active
500030,100025,Savings,2023-04-10,4047,Active
500031,100026,Salary,2022-05-19,19169,Active
500032,100027,Savings,2022-08-22,24166,Active
500033,100028,Savings,2024-01-28,12709,Active
500034,100029,Current,2023-02-02,41987,Active
500035,100030,Savings,2022-04-17,16747,Active
500036,100031,Savings,2024-01-28,21624,Active
500037,100032,Salary,2023-09-03,4218,Active
500038,100033,Salary,2022-03-12,5914,Active
500039,100034,Current,2023-09-23,77320,Active
500040,100035,Salary,2022-07-28,7792,Active
500041,100036,Savings,2022-09-13,20328,Active
500042,100037,Savings,2023-08-09,30259,Inactive
500043,100038,Savings,2023-04-07,23308,Frozen
500044,100039,Current,2023-08-22,7327,Inactive
500045,100040,Salary,2023-05-02,44572,Inactive
500046,100041,Salary,2022-01-22,43601,Active
500047,100042,Savings,2022-11-15,9659,Active
500048,100043,Savings,2023-07-14,76615,Active
500049,100043,Savings,2024-01-25,17157,Active
500050,100044,Salary,2022-12-16,33354,Active
500051,100045,Salary,2023-03-04,9974,Inactive
500052,100046,Savings,2022-01-15,30714,Active
500053,100047,Savings,2023-09-16,6826,Active
500054,100048,Savings,2022-09-21,21541,Active
500055,100049,Savings,2024-01-23,11805,Active
500056,100050,Savings,2023-07-09,23846,Active
500057,100051,Savings,2023-09-08,54227,Active
500058,100052,Salary,2022-04-26,23580,Active
500059,100053,Salary,2022-09-19,24272,Active
500060,100054,Savings,2023-09-19,13757,Active
500061,100055,Salary,2023-11-07,6100,Inactive
500062,100056,Savings,2023-02-19,20494,Active
500063,100057,Savings,2024-04-05,11843,Active
500064,100058,Savings,2022-08-13,7992,Active
500065,100059,Savings,2023-05-24,24582,Active
500066,100060,Savings,2022-03-07,7403,Inactive
500067,100060,Savings,2022-06-23,26963,Active
500068,100061,Salary,2024-04-30,13790,Active
500069,100062,Savings,2022-11-19,94215,Active
500070,100063,Current,2022-11-25,37678,Active
500071,100063,Savings,2023-09-15,32863,Active
500072,100064,Savings,2022-11-13,64665,Active
500073,100065,Current,2023-02-19,11910,Active
500074,100066,Salary,2022-09-01,26223,Active
500075,100067,Salary,2022-04-29,3907,Active
500076,100068,Current,2024-04-06,18298,Active
500077,100069,Savings,2024-04-23,22602,Active
500078,100070,Savings,2023-04-29,119412,Active
500079,100071,Savings,2024-03-08,22880,Active
500080,100072,Savings,2023-09-22,76865,Frozen
500081,100073,Salary,2023-12-18,96200,Inactive
500082,100074,Salary,2024-01-10,41020,Active
500083,100075,Savings,2022-01-07,27623,Active
500084,100076,Salary,2024-03-26,9978,Active
500085,100077,Savings,2022-07-29,38465,Active
500086,100078,Salary,2024-01-05,62929,Active
500087,100078,Savings,2023-02-04,33782,Frozen
500088,100079,Savings,2024-03-20,47871,Inactive
500089,100079,Savings,2024-01-06,16607,Active
500090,100080,Savings,2023-03-28,22722,Active
500091,100081,Savings,2022-01-30,17967,Active
500092,100082,Savings,2022-02-05,36651,Active
500093,100082,Savings,2024-03-17,55415,Inactive
500094,100083,Salary,2024-01-11,35484,Active
500095,100084,Savings,2023-05-20,5804,Active
500096,100085,Current,2023-03-26,77593,Active
500097,100086,Current,2023-10-17,112706,Active
500098,100087,Salary,2022-09-20,14096,Active
500099,100088,Salary,2023-09-17,26848,Active
500100,100089,Salary,2023-06-21,33555,Active
500101,100089,Savings,2023-02-25,31316,Active
500102,100090,Current,2022-01-29,66865,Active
500103,100091,Salary,2023-07-12,50260,Active
500104,100092,Savings,2023-12-09,10196,Active
500105,100093,Savings,2024-03-30,16364,Inactive
500106,100093,Savings,2023-04-30,13477,Active
500107,100094,Salary,2023-05-03,47499,Active
500108,100095,Savings,2022-01-31,23625,Inactive
500109,100096,Current,2022-01-24,13362,Active
500110,100097,Savings,2022-10-18,30040,Active
500111,100098,Current,2022-04-18,4576,Active
500112,100099,Salary,2023-10-01,12801,Active
500113,100100,Savings,2023-03-24,49316,Active
500114,100101,Salary,2023-09-23,87675,Active
500115,100102,Current,2023-10-16,6374,Active
500116,100103,Savings,2023-08-24,60200,Active
500117,100104,Current,2024-04-09,8101,Active
500118,100105,Current,2022-07-19,49247,Active
500119,100106,Salary,2022-05-18,20464,Active
500120,100106,Savings,2022-04-01,13422,Active
500121,100107,Salary,2023-03-08,42305,Active
500122,100108,Savings,2023-10-06,11806,Active
500123,100109,Savings,2023-11-30,51198,Active
500124,100110,Savings,2023-12-23,6819,Active
500125,100110,Current,2023-05-30,40847,Frozen
500126,100111,Salary,2023-05-09,29198,Active
500127,100111,Savings,2023-07-19,51529,Active
500128,100112,Savings,2022-07-14,213356,Active
500129,100112,Savings,2022-06-11,5081,Frozen
500130,100113,Savings,2022-03-05,80259,Active
500131,100113,Current,2022-03-21,13154,Active
500132,100114,Savings,2023-06-12,8931,Active
500133,100115,Savings,2023-10-12,13044,Active
500134,100116,Savings,2023-04-10,36301,Active
500135,100116,Savings,2022-07-19,59056,Active
