customer_id,customer_name,age,gender,city,segment,signup_date,preferred_channel,risk_score
100001,Customer_100001,46,Female,Chennai,Small Business,2022-06-05,UPI Partner,63.4
100002,Customer_100002,37,Female,Chennai,Student,2022-06-01,Mobile App,38.93
100003,Customer_100003,48,Male,Bangalore,Salaried,2022-08-03,UPI Partner,57.96
100004,Customer_100004,38,Male,Pune,Student,2022-06-13,Branch,36.81
100005,Customer_100005,34,Male,Delhi,Small Business,2022-09-03,UPI Partner,50.77
100006,Customer_100006,33,Female,Pune,Small Business,2022-06-10,UPI Partner,89.53
100007,Customer_100007,54,Female,Mumbai,Self Employed,2023-06-15,UPI Partner,58.46
100008,Customer_100008,28,Female,Hyderabad,Small Business,2023-10-16,Internet Banking,48.58
100009,Customer_100009,39,Male,Delhi,Salaried,2023-04-23,Internet Banking,63.06
100010,Customer_100010,45,Male,Hyderabad,Self Employed,2024-01-31,Branch,60.33
100011,Customer_100011,49,Male,Delhi,Self Employed,2024-03-17,UPI Partner,58.44
100012,Customer_100012,53,Female,Chennai,Salaried,2022-05-24,UPI Partner,40.9
100013,Customer_100013,25,Female,Bangalore,Salaried,2022-03-22,Mobile App,71.62
100014,Customer_100014,55,Male,Bangalore,Student,2023-06-02,Mobile App,42.96
100015,Customer_100015,33,Male,Hyderabad,Salaried,2022-11-20,UPI Partner,32.75
100016,Customer_100016,22,Female,Hyderabad,Self Employed,2022-04-22,Internet Banking,50.39
100017,Customer_100017,31,Male,Bangalore,Student,2023-12-13,Internet Banking,41.76
100018,Customer_100018,58,Female,Kolkata,Self Employed,2023-04-18,Mobile App,62.17
100019,Customer_100019,60,Female,Ahmedabad,Self Employed,2022-11-12,Mobile App,38.92
100020,Customer_100020,41,Female,Chennai,Salaried,2023-05-15,Mobile App,66.98
100021,Customer_100021,38,Female,Bangalore,Self Employed,2024-01-28,Mobile App,72.51
100022,Customer_100022,48,Female,Pune,Student,2024-01-13,UPI Partner,73.91
