ticket_id,customer_id,ticket_date,issue_type,resolution_status,resolution_days
300001,101799,2024-03-06,Failed Transaction,Resolved,1
300002,100807,2024-02-09,Refund Delay,Resolved,3
300003,101193,2024-04-14,Failed Transaction,Resolved,10
300004,100808,2024-04-18,Failed Transaction,Open,3
300005,100157,2024-01-12,Failed Transaction,Resolved,4
300006,100386,2024-01-29,Refund Delay,Resolved,3
300007,101902,2024-01-26,Refund Delay,Resolved,5
300008,101416,2024-04-24,Failed Transaction,Resolved,7
300009,101865,2024-01-24,Failed Transaction,Resolved,4
300010,101391,2024-02-07,Refund Delay,Resolved,2
300011,100141,2024-03-04,Failed Transaction,Resolved,7
300012,100681,2024-02-05,Failed Transaction,Resolved,5
300013,100876,2024-02-19,Refund Delay,Resolved,7
300014,101506,2024-01-29,Account Service,Resolved,1
300015,101420,2024-02-12,Refund Delay,Resolved,4
300016,100409,2024-04-12,App Issue,Open,15
300017,100666,2024-01-25,Failed Transaction,Resolved,5
300018,100846,2024-04-28,Fraud Concern,Resolved,15
300019,101215,2024-01-27,Failed Transaction,Open,10
300020,100362,2024-04-11,App Issue,Resolved,10
300021,100253,2024-03-18,Failed Transaction,Resolved,1
300022,101544,2024-01-12,Failed Transaction,Escalated,2
300023,100972,2024-04-07,Fraud Concern,Resolved,1
300024,100101,2024-04-21,App Issue,Resolved,1
300025,100647,2024-04-22,Refund Delay,Resolved,1
300026,101358,2024-04-27,Refund Delay,Resolved,7
300027,101379,2024-01-17,Refund Delay,Resolved,7
300028,100603,2024-03-09,Fraud Concern,Resolved,3
300029,100655,2024-04-27,Failed Transaction,Resolved,10
300030,100857,2024-03-08,Refund Delay,Open,3
300031,100572,2024-02-19,App Issue,Resolved,7
300032,100988,2024-03-18,Failed Transaction,Resolved,5
300033,100332,2024-01-03,App Issue,Open,4
300034,100414,2024-04-08,Fraud Concern,Resolved,7
300035,100816,2024-03-03,App Issue,Resolved,3
300036,101010,2024-04-01,Failed Transaction,Resolved,15
300037,101712,2024-03-10,Failed Transaction,Resolved,15
300038,100559,2024-03-22,Failed Transaction,Resolved,4
300039,100729,2024-03-15,App Issue,Resolved,10
300040,100021,2024-01-31,App Issue,Resolved,15
300041,100753,2024-03-07,Refund Delay,Resolved,7
300042,101093,2024-03-27,Failed Transaction,Resolved,3
300043,101365,2024-02-26,Refund Delay,Resolved,1
300044,100683,2024-04-28,Failed Transaction,Resolved,15
300045,100873,2024-01-30,Failed Transaction,Resolved,4
300046,101883,2024-02-24,Account Service,Open,1
300047,100687,2024-04-11,Failed Transaction,Escalated,15
300048,101213,2024-01-27,Failed Transaction,Open,15
300049,100857,2024-01-29,Fraud Concern,Resolved,3
300050,100915,2024-03-15,Failed Transaction,Resolved,5
300051,101377,2024-03-21,Failed Transaction,Resolved,4
300052,100973,2024-02-20,Failed Transaction,Resolved,3
300053,100542,2024-03-30,App Issue,Resolved,1
300054,100370,2024-01-16,Fraud Concern,Resolved,3
300055,101799,2024-04-20,Fraud Concern,Resolved,5
