transaction_id,account_id,transaction_date,transaction_type,channel,amount,transaction_status,merchant_category,fraud_flag
900001,501904,2024-01-15,UPI,ATM,974.0,Success,Utilities,0
900002,500459,2024-02-21,UPI,Mobile App,725.69,Success,Utilities,0
900003,500188,2024-03-28,UPI,Mobile App,424.28,Success,Travel,0
900004,501084,2024-03-21,Card,Internet Banking,1806.62,Success,Travel,0
900005,500352,2024-04-06,UPI,Mobile App,2291.33,Success,Restaurants,0
900006,501888,2024-01-06,IMPS,Mobile App,8152.05,Success,Restaurants,0
900007,501177,2024-01-21,Card,Mobile App,558.96,Success,Travel,0
900008,501059,2024-01-10,UPI,Internet Banking,2368.77,Success,Healthcare,0
900009,500263,2024-02-20,UPI,Branch,539.3,Success,Utilities,0
900010,501888,2024-01-03,UPI,Mobile App,3679.55,Success,Travel,0
900011,502021,2024-02-24,UPI,Internet Banking,1049.66,Success,Education,0
900012,501581,2024-04-11,UPI,Mobile App,1045.18,Success,Healthcare,0
900013,500744,2024-04-19,UPI,Internet Banking,2017.89,Success,Restaurants,0
900014,501181,2024-04-18,Bill Payment,UPI Partner,3864.37,Success,Restaurants,0
900015,500319,2024-01-22,Card,Mobile App,1530.1,Success,Electronics,0
900016,502346,2024-02-10,Bill Payment,Mobile App,803.01,Success,Travel,0
900017,501200,2024-01-26,Card,Internet Banking,1639.45,Success,Education,0
900018,501116,2024-01-15,UPI,UPI Partner,430.29,Success,Restaurants,0
900019,500482,2024-03-29,UPI,UPI Partner,169.0,Success,Fuel,0
900020,501047,2024-02-19,Card,UPI Partner,12179.38,Success,Groceries,0
900021,500636,2024-03-31,Card,Mobile App,3522.11,Success,Education,0
900022,500547,2024-02-03,Card,ATM,3988.1,Success,Restaurants,0
900023,501029,2024-03-06,UPI,ATM,278.91,Success,Education,0
900024,501371,2024-01-12,ATM,Branch,3782.84,Success,Groceries,0
900025,500246,2024-02-07,Card,UPI Partner,2428.23,Success,Fuel,0
900026,500581,2024-03-18,IMPS,Mobile App,3535.2,Success,Healthcare,0
900027,500386,2024-01-06,Card,Mobile App,5008.18,Failed,Education,0
